,code1,code2,code3,code4,Shire,Suburb,Aboriginal.and.or.Torres.Strait.Islander,Non.Indigenous,Total.ERP
157,,NA,NA,1354,,Bass Hill - Georges Hall,206,20841,21047
158,,NA,NA,1355,,Chullora,0,5,5
159,,NA,NA,1356,,Condell Park,81,10624,10705
160,,NA,NA,1357,,Greenacre - Mount Lewis,144,25518,25662
161,,NA,NA,1358,,Padstow,179,16102,16281
162,,NA,NA,1359,,Panania - Milperra - Picnic Point,400,24674,25074
163,,NA,NA,1360,,Revesby,200,15316,15516
164,,NA,NA,1361,,Yagoona - Birrong,190,19597,19787
168,,NA,NA,1362,,Belmore - Belfield,142,19507,19649
169,,NA,NA,1363,,Canterbury (South) - Campsie,156,28098,28254
170,,NA,NA,1364,,Kingsgrove (North) - Earlwood,151,23810,23961
171,,NA,NA,1365,,Lakemba - Wiley Park,87,26737,26824
172,,NA,NA,1366,,Punchbowl,109,20030,20139
173,,NA,NA,1367,,Roselands,89,13512,13601
177,,NA,NA,1368,,Hurstville,79,21250,21329
178,,NA,NA,1369,,Mortdale - Penshurst,151,23141,23292
179,,NA,NA,1370,,Narwee - Beverly Hills,133,13241,13374
180,,NA,NA,1371,,Oatley - Hurstville Grove,76,12518,12594
181,,NA,NA,1372,,Peakhurst - Lugarno,201,18017,18218
182,,NA,NA,1373,,Riverwood,113,9794,9907
183,,NA,NA,1374,,South Hurstville - Blakehurst,111,23759,23870
187,,NA,NA,1375,,Arncliffe - Bardwell Valley,121,15533,15654
188,,NA,NA,1376,,Bexley,134,26495,26629
189,,NA,NA,1377,,Kingsgrove (South) - Bardwell Park,86,12636,12722
190,,NA,NA,1378,,Kogarah,58,10119,10177
191,,NA,NA,1379,,Kogarah Bay - Carlton - Allawah,64,15573,15637
192,,NA,NA,1380,,Monterey - Brighton-le-Sands - Kyeemagh,93,13816,13909
193,,NA,NA,1381,,Rockdale - Banksia,130,19487,19617
194,,NA,NA,1382,,Sans Souci - Ramsgate,135,15595,15730
201,,NA,NA,1383,,Concord - Mortlake - Cabarita,92,20493,20585
202,,NA,NA,1384,,Concord West - North Strathfield,86,18939,19025
203,,NA,NA,1385,,Drummoyne - Rodd Point,57,18460,18517
204,,NA,NA,1386,,Five Dock - Abbotsford,118,20116,20234
208,,NA,NA,1387,,Balmain,140,15603,15743
209,,NA,NA,1388,,Leichhardt - Annandale,360,25632,25992
210,,NA,NA,1389,,Lilyfield - Rozelle,162,13745,13907
214,,NA,NA,1390,,Ashfield,172,23907,24079
215,,NA,NA,1391,,Burwood - Croydon,113,22113,22226
