,code1,code2,code3,code4,Shire,Suburb,Aboriginal.and.or.Torres.Strait.Islander,Non.Indigenous,Total.ERP
732,,NA,NA,1182,,Deniliquin,306,6997,7303
733,,NA,NA,1183,,Deniliquin Region,261,6740,7001
734,,NA,NA,1184,,Moama,140,5152,5292
735,,NA,NA,1185,,Tocumwal - Finley - Jerilderie,240,9327,9567
742,,NA,NA,1186,,Armidale,1801,21670,23471
743,,NA,NA,1187,,Armidale Region - North,268,4153,4421
744,,NA,NA,1188,,Armidale Region - South,422,5789,6211
745,,NA,NA,1189,,Walcha,268,3026,3294
749,,NA,NA,1190,,Glen Innes,589,8322,8911
750,,NA,NA,1191,,Inverell,966,10802,11768
751,,NA,NA,1192,,Inverell Region - East,560,4868,5428
752,,NA,NA,1193,,Inverell Region - West,227,5535,5762
753,,NA,NA,1194,,Tenterfield,548,6442,6990
757,,NA,NA,1195,,Moree,2399,6390,8789
758,,NA,NA,1196,,Moree Region,1098,4695,5793
759,,NA,NA,1197,,Narrabri,905,6281,7186
760,,NA,NA,1198,,Narrabri Region,700,4323,5023
764,,NA,NA,1199,,Gunnedah,1372,7708,9080
765,,NA,NA,1200,,Gunnedah Region,351,4317,4668
766,,NA,NA,1201,,Quirindi,976,6785,7761
767,,NA,NA,1202,,Tamworth - East,1866,18702,20568
768,,NA,NA,1203,,Tamworth - North,1120,12832,13952
769,,NA,NA,1204,,Tamworth - West,1487,4078,5565
770,,NA,NA,1205,,Tamworth Region,1191,16727,17918
777,,NA,NA,1206,,Belmont - Bennetts Green,472,17431,17903
778,,NA,NA,1207,,Belmont South - Blacksmiths,224,5634,5858
779,,NA,NA,1208,,Charlestown - Dudley,665,23933,24598
780,,NA,NA,1209,,Glendale - Cardiff - Hillsborough,869,23074,23943
781,,NA,NA,1210,,Mount Hutton - Windale,670,8314,8984
782,,NA,NA,1211,,Redhead,54,3542,3596
783,,NA,NA,1212,,Swansea - Caves Beach,366,10743,11109
784,,NA,NA,1213,,Valentine - Eleebana,97,12493,12590
785,,NA,NA,1214,,Warners Bay - Boolaroo,290,13005,13295
789,,NA,NA,1215,,Bolton Point - Teralba,482,8558,9040
790,,NA,NA,1216,,Bonnells Bay - Silverwater,272,7977,8249
791,,NA,NA,1217,,Edgeworth - Cameron Park,558,11209,11767
792,,NA,NA,1218,,Morisset - Cooranbong,457,13938,14395
793,,NA,NA,1219,,Toronto - Awaba,647,13201,13848
794,,NA,NA,1220,,Wangi Wangi - Rathmines,247,8775,9022
795,,NA,NA,1221,,West Wallsend - Barnsley - Killingworth,280,6078,6358
799,,NA,NA,1222,,Adamstown - Kotara,308,15486,15794
800,,NA,NA,1223,,Beresfield - Hexham,528,8118,8646
801,,NA,NA,1224,,Hamilton - Broadmeadow,385,11921,12306
802,,NA,NA,1225,,Lambton - New Lambton,426,16675,17101
803,,NA,NA,1226,,Maryland - Fletcher - Minmi,489,11152,11641
804,,NA,NA,1227,,Mayfield - Warabrook,473,14780,15253
805,,NA,NA,1228,,Merewether - The Junction,190,14048,14238
806,,NA,NA,1229,,Newcastle - Cooks Hill,244,10513,10757
807,,NA,NA,1230,,Newcastle Port - Kooragang,0,20,20
808,,NA,NA,1231,,Shortland - Jesmond,339,10230,10569
809,,NA,NA,1232,,Stockton - Fullerton Cove,241,6039,6280
810,,NA,NA,1233,,Wallsend - Elermore Vale,745,19170,19915
811,,NA,NA,1234,,Waratah - North Lambton,454,11963,12417
812,,NA,NA,1235,,Wickham - Carrington - Tighes Hill,314,7756,8070
819,,NA,NA,1236,,Ballina,755,16075,16830
820,,NA,NA,1237,,Ballina Region,606,15599,16205
821,,NA,NA,1238,,Bangalow,62,5527,5589
822,,NA,NA,1239,,Brunswick Heads - Ocean Shores,232,7852,8084
823,,NA,NA,1240,,Byron Bay,162,9075,9237
824,,NA,NA,1241,,Evans Head,226,4921,5147
825,,NA,NA,1242,,Lennox Head - Skennars Head,112,7527,7639
826,,NA,NA,1243,,Mullumbimby,169,7458,7627
830,,NA,NA,1244,,Casino,1134,11070,12204
831,,NA,NA,1245,,Casino Region,485,6608,7093
832,,NA,NA,1246,,Goonellabah,953,12207,13160
833,,NA,NA,1247,,Kyogle,472,7296,7768
834,,NA,NA,1248,,Lismore,879,15255,16134
835,,NA,NA,1249,,Lismore Region,456,14888,15344
839,,NA,NA,1250,,Kingscliff - Fingal Head,545,10831,11376
840,,NA,NA,1251,,Murwillumbah,262,8276,8538
841,,NA,NA,1252,,Murwillumbah Region,279,9637,9916
842,,NA,NA,1253,,Pottsville,503,12066,12569
843,,NA,NA,1254,,Tweed Heads,665,18290,18955
844,,NA,NA,1255,,Tweed Heads - South,1300,25783,27083
851,,NA,NA,1256,,Griffith (NSW),1045,17638,18683
852,,NA,NA,1257,,Griffith Region,832,12340,13172
853,,NA,NA,1258,,Leeton,664,9555,10219
854,,NA,NA,1259,,Narrandera,748,5596,6344
858,,NA,NA,1260,,Tumbarumba,101,3420,3521
859,,NA,NA,1261,,Tumut,394,6114,6508
860,,NA,NA,1262,,Tumut Region,189,4575,4764
864,,NA,NA,1263,,Cootamundra,357,7307,7664
865,,NA,NA,1264,,Gundagai,97,3577,3674
866,,NA,NA,1265,,Junee,478,5591,6069
867,,NA,NA,1266,,Temora,132,6396,6528
868,,NA,NA,1267,,Wagga Wagga - East,538,15965,16503
869,,NA,NA,1268,,Wagga Wagga - North,71,3530,3601
870,,NA,NA,1269,,Wagga Wagga - South,1415,20270,21685
871,,NA,NA,1270,,Wagga Wagga - West,984,11364,12348
872,,NA,NA,1271,,Wagga Wagga Region,463,13974,14437
879,,NA,NA,1272,,Berry - Kangaroo Valley,156,8406,8562
880,,NA,NA,1273,,Callala Bay - Currarong,156,3492,3648
881,,NA,NA,1274,,Culburra Beach,333,4624,4957
882,,NA,NA,1275,,Ettrema - Sassafras - Budawang,0,37,37
883,,NA,NA,1276,,Huskisson - Vincentia,158,3812,3970
884,,NA,NA,1277,,North Nowra - Bomaderry,961,14878,15839
885,,NA,NA,1278,,Nowra,1943,16830,18773
886,,NA,NA,1279,,St Georges Basin - Erowal Bay,805,12192,12997
887,,NA,NA,1280,,Sussex Inlet - Berrara,142,4115,4257
888,,NA,NA,1281,,Tomerong - Wandandian - Woollamia,134,3269,3403
889,,NA,NA,1282,,Ulladulla,399,14359,14758
890,,NA,NA,1283,,Ulladulla Region,93,4712,4805
894,,NA,NA,1284,,Bowral,169,12528,12697
895,,NA,NA,1285,,Hill Top - Colo Vale,166,5716,5882
896,,NA,NA,1286,,Mittagong,193,8230,8423
897,,NA,NA,1287,,Moss Vale - Berrima,282,8982,9264
898,,NA,NA,1288,,Robertson - Fitzroy Falls,66,3430,3496
899,,NA,NA,1289,,Southern Highlands,87,6269,6356
