ABN	Latitude	Longitude	Aged_Care_Activities	Aged_Persons	Aboriginal_or_TSI	People_at_risk_of_homelessness	Charity_Name
11635378627	-30.99227526499959	150.25280465900062					Gunnedah Congregation of Jehovah's Witnesses
11637257859	-29.73832755199959	151.73552784300057		Y	Y	Y	Glen Innes & District Information Centre Inc
11638541613	-29.73832755199959	151.73552784300057					The Trustee For Liverpool Catholic Club Charitable Trust
11658636055	-36.46581831199961	149.87153471300064		Y			Quaama Mens Shed
11662695807	-33.384795620999625	148.00856507600054					Lachlan Legacy Club Incorporated
11665093300	-33.80065631999963	151.18936318000056				Y	Coles Danziger Foundation
11673296731	-33.739198089999604	150.86281990400062	Y	Y			St Elizabeth Home Aged Care Facility
11674086033	-33.6738991509996	151.10217979400056					Australasian Order Of Old Bastards Branch 94 Hornsby
11676819496	-33.63798606699959	150.78481308300059		Y	Y	Y	Windsor District Baptist Church Emergency Relief Inc.
11682631501	-33.90875181199959	151.0356197710006					Catholic Parish Of Felix De Valois Bankstown
11689036327	-33.78265912699959	151.19884924000064					The Trustee For The 5% Foundation
11705860022	-33.8734582389996	151.09258506600054					Society Of The Congregations Of The Presentation Of The Blessed Virgin Mary 
11705860103	-32.57036641299959	151.1642580190006					Unitingcare Singleton Disability Respite Services
11721615402	-33.869599972999595	151.20695930500062					The Trustee For Roy O & Constance M Young Trust
11724816851	-33.75191412299961	150.96147768800063	Y	Y			NSW Indian Welfare Association Inc
11739129033	-31.959810829999583	141.4373329950006					Silverlea Inc
11758752584	-33.77468032399963	151.04504995400055					The Trustee For Community Of James Ruse Ancillary Fund
11768299692	-32.91046623199958	151.75227130100063					The Margaret Henderson Music Trust
11774338836	-33.707506938999586	151.15699869200057					Sydney Opera House Ladies Committee
11774587436	-33.82000258199963	151.0899529150006	Y	Y	Y		Muscular Dystrophy Association Of NSW
11787986073	-32.734025852999594	151.55876578400057					Chisholm Pastoral Region
11792107925	-32.70984874099963	151.52688068900056					Maitland District Baptist Church
11811715217	-35.02711982399961	150.4878195290006					Sussex Inlet Rsl Sub Branch
11812884150	-33.8657998259996	151.21010919800062					The Trustee for the ACPT - Guildford with Villawood Trust
11813361024	-33.29607979399958	146.37264699400055					Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For St Francis Xavier Primary Lake Cargelligo Parents And Friends Association
11825966870	-30.978244338999616	150.25016288000063			Y		Red Chief Local Aboriginal Land Council
11827184359	-33.55878426999959	150.84607824600062					Autism And Aspergers Syndrome Support Group Registered Charity No Cfn 16723
11843307609	-33.904563483999596	151.10966912200058		Y			Satsang Hindu Maha Sabha Of NSW Incorporated
11850625970	-33.78113677699963	151.1054642210006					Minimbah Challenge Inc
11855677314	-33.061729587999594	148.8610696450006					Molong Show Society Incorporated
11857117035	-34.54628407799959	148.34894301900056					Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For The Catholic Parish Of Murrumburrah/Harden
11857749742	-34.314929484999595	148.29910731200061		Y	Y	Y	Young District Anglican Ministry
11866165313	-33.65159649099962	150.25917481000056					Blackheath Public School P&C Assn
11867269288	-35.951162102999604	146.29629575500064	Y	Y			Anglican Church Of Australia Parish Of Corowa
11867618398	-35.38764545199962	147.0628713070006					Yerong Creek Parents And Citizens Association
11867740450	-33.94910857399958	151.02956135000056					Bankstown Granville Industry Education Partnership Incorporated
11869627695	-35.53707060599959	144.9566283330006			Y		Deniliquin South Public School P&C Assoc
11877009431	-34.3730966699996	150.8960256110006					Access Community Group Inc
11883368767	-33.8657998259996	151.21010919800062		Y			Australian Respiratory Council
11886946932	-33.89548214499962	151.17477044000054					The Athena School Inc
11895005109	-34.26790399099963	146.0772635480006		Y			Griffith City Room Gospel Trust
11897212159	-31.10664293999963	151.7049099580006					Walcha Rsl Sub Branch
11897576643	-33.869599972999595	151.20695930500062					C Mead Trust
11930810856	-34.54581119699958	150.85455640100054				Y	Warilla North Baptist Church
11933733266	-35.5785294199996	145.56896764900057					Finley RSL sub-Branch (RSL NSW)
11939987352	-33.962229328999626	151.07968139600064					Uca - Presbytery Of Georges River
11945172329	-34.34840680499963	150.90521312100054					Woonona Public School P&C Association
11956204286	-29.12994978499961	152.0391493470006	Y		Y		Tenterfield Total Care & Transport Inc.
11976096013	-32.738039173999596	151.53311946300062					Real Life Church Incorporated
11981168448	-34.37549984699962	150.90526913300062					Corrimal RSL sub-Branch (RSL NSW)
11981935286	-33.869599972999595	151.20695930500062					The Trustee For John And Connie Kennedy Charitable Trust
11983090271	-33.876639532999604	151.15821250400063			Y		Leichhardt Out Of School Hours Care
11989448576	-32.36151329299963	149.5344795600006			Y		Trustees Of The Roman Catholic As Trustee For All Hallow's Gulgong
12000637267	-33.752024697999616	151.2237059520006					Autism Spectrum Australia (Aspect)
12000767251	-33.792502540999635	151.19155047200059	Y	Y			THE DIOCESE OF THE ARMENIAN CHURCH OF AUSTRALIA & NEW ZEALAND (PROPERTIES) LTD
